momentID,activity,moment,counterparty,price,dateGMT
7713872,Bought,Tim Hardaway Jr. · DAL · Dunk · 3/10/2021 · Base Set · Series 2 · #9611,0x8b61db7ac03e8079 (mgorrasi),3,2022-04-13T07:07:05.000Z
10095612,Bought,Luka Dončić · DAL · Assist · 1/20/2021 · Base Set · Series 2 · #17712,0x82f03307cbf1dda5 (ItsYaBoyPete),5,2022-04-13T07:07:39.000Z
9886695,Bought,Trey Burke · DAL · Layup · 1/9/2021 · Base Set · Series 2 · #8874,0xc29a05e804b82d80 (MercWithAMouth),7,2022-04-13T07:08:02.000Z
4010336,Bought,Willie Cauley-Stein · DAL · Block · 1/13/2021 · Base Set · Series 2 · #1776,0x6a74b95f60e51ed5 (3soteric),7,2022-04-13T07:08:13.000Z
30650020,Listed,Tim Hardaway Jr. · DAL · Dunk · 12/8/2021 · Base Set · Series 3 · #13914,,2,2022-04-13T07:12:44.000Z
7786956,Bought,Dennis Smith Jr. · DET · Dunk · 2/26/2021 · Base Set · Series 2 · #14070,0x7d785c523ed230dd (cuteDAIE),2,2022-04-13T07:16:24.000Z
10158206,Bought,Mason Plumlee · DET · Dunk · 3/26/2021 · Base Set · Series 2 · #10306,0x7d785c523ed230dd (cuteDAIE),2,2022-04-13T07:16:55.000Z
14307963,Bought,Jaxson Hayes · NOP · Dunk · 1/13/2021 · Base Set · Series 2 · #37519,0x4ac38ad11c4a217a (cyanx),2,2022-04-13T07:17:59.000Z
10386529,Bought,Michael Carter-Williams · ORL · Dunk · 3/30/2021 · Base Set · Series 2 · #28629,0xad67a198c744042f (riba),2,2022-04-13T07:33:31.000Z
10952965,Bought,Josh Jackson · DET · Dunk · 2/11/2021 · Base Set · Series 2 · #33425,0xad67a198c744042f (riba),2,2022-04-13T07:34:12.000Z
12214901,Bought,Luguentz Dort · OKC · 3 Pointer · 2/24/2021 · Base Set · Series 2 · #32953,0xad67a198c744042f (riba),2,2022-04-13T07:34:51.000Z
34474435,Sold,Monte Morris · DEN · 3 Pointer · 2/26/2022 · Base Set · Series 3 · #3388,0x16ed60c906bdcc5d (jkuma),5,2022-04-13T07:39:23.000Z
34658187,Sold,Danny Green · PHI · Block · 1/7/2022 · Base Set · Series 3 · #641,0xc27986976e045b1d (dfick),4,2022-04-13T20:10:37.000Z
13999428,Bought,Dennis Schröder · LAL · Assist · 3/20/2021 · Base Set · Series 2 · #32984,0x21f483109e094588 (imjosh),2,2022-04-13T20:22:26.000Z
